sens,numerobus,numerobuskr,voiturekr,idbus,idligne,etat,destination, nomcourtligne,coordonnees,date,heure
 1, 188962181, 821, '0308', '188962181', '0003', 'En ligne', 'Patton', 'C3', [48.08417; -1.673648],2023-03-04,19:33:00
 0, 189192342, 822, '0304', '189192342', '0003', 'En ligne', 'Henri Fréville', 'C3', [48.13872; -1.666034],2023-03-04,19:33:00
 1, 189882825, 825, '1310', '189882825', '0013', 'En ligne', 'Chantepie', '13', [48.078571; -1.715702],2023-03-04,19:33:00
 0, 209906832, 912, '1301', '209906832', '0013', 'En ligne', 'Porte de Ker Lann', '13', [48.091446; -1.704392],2023-03-04,19:33:00
 0, 210136993, 913, '0602', '210136993', '0006', 'En ligne', 'Aéroport', 'C6', [48.113572; -1.59052],2023-03-04,19:33:00
 1, 210367154, 914, '0609', '210367154', '0006', 'En ligne', 'Cesson-Sévigné', 'C6', [48.110061; -1.669734],2023-03-04,19:33:00
 1, 211287798, 918, '5403', '211287798', '0055', 'En ligne', 'Rennes', '55', [48.106743; -1.6743],2023-03-04,19:33:00
 0, 220494238, 958, '0401', '220494238', '0004', 'En ligne', 'Grand Quartier', 'C4', [48.13266; -1.636184],2023-03-04,19:33:00
 1, 232922932, 1012, '5404', '232922932', '0054', 'En ligne', 'Rennes', '54', [48.099924; -1.802099],2023-03-04,19:33:00
 1, 241899211, 1051, '7204', '241899211', '0072', 'En ligne', 'Rennes', '72', [48.086665; -1.675282],2023-03-04,19:33:00
 1, 242819855, 1055, '1221', '242819855', '0012', 'En ligne', 'Villejean-U', '12', [48.098043; -1.667057],2023-03-04,19:33:00
 1, 243280177, 1057, '8002', '243280177', '0080', 'En ligne', 'Rennes', '80', [47.978701; -1.69549],2023-03-04,19:33:00
 0, 243970660, 1060, '8001', '243970660', '0080', 'En ligne', 'Laillé', '80', [47.998343; -1.693511],2023-03-04,19:33:00
 1, 246502431, 1071, '7203', '246502431', '0072', 'En ligne', 'Rennes', '72', [48.04188; -1.704244],2023-03-04,19:33:00
 0, 464004576, 2016, '5202', '464004576', '0052', 'En ligne', 'Saint-Gilles', '52', [48.133758; -1.761894],2023-03-04,19:33:00
 1, 465615703, 2023, '7601', '465615703', '0076', 'En ligne', 'Rennes', '76', [48.073069; -1.853266],2023-03-04,19:33:00
 1, 466536347, 2027, '5201', '466536347', '0052', 'En ligne', 'Montgermont | La Chapelle', '52', [48.126017; -1.693092],2023-03-04,19:33:00
 0, 469068118, 2038, '8101', '469068118', '0081', 'En ligne', 'Clayes-Romillé', '81', [48.208513; -1.886722],2023-03-04,19:33:00
 0, 470218923, 2043, '5502', '470218923', '0055', 'En ligne', 'Mordelles Le Verger', '55', [48.106317; -1.677546],2023-03-04,19:33:00
 1, 470449084, 2044, '6502', '470449084', '0065', 'En ligne', 'Rennes', '65', [48.193757; -1.83219],2023-03-04,19:33:00
 1, 470679245, 2045, '7802', '470679245', '0078', 'En ligne', 'Betton', '78', [48.163878; -1.675359],2023-03-04,19:33:00
 1, 471139567, 2047, '7803', '471139567', '0078', 'En ligne', 'Betton', '78', [48.121439; -1.700749],2023-03-04,19:33:00
 0, 472980855, 2055, '8201', '472980855', '0082', 'En ligne', 'Miniac', '82', [48.150434; -1.795487],2023-03-04,19:33:00
 1, 473441177, 2057, '5204', '473441177', '0052', 'En ligne', 'Montgermont | La Chapelle', '52', [48.173993; -1.735175],2023-03-04,19:33:00
 1, 477123753, 2073, '1304', '477123753', '0013', 'En ligne', 'Chantepie', '13', [48.093613; -1.697305],2023-03-04,19:33:00
 1, 694165576, 3016, '5505', '694165576', '0055', 'En ligne', 'Rennes', '55', [48.090143; -1.790365],2023-03-04,19:33:00
 0, 922024966, 4006, '6702', '922024966', '0067', 'En ligne', 'Rennes', '67', [48.108447; -1.47852],2023-03-04,19:33:00
 0, 923866254, 4014, '7201', '923866254', '0072', 'En ligne', 'Pont-Péan', '72', [48.009756; -1.700515],2023-03-04,19:33:00
 0, 925937703, 4023, '7202', '925937703', '0072', 'En ligne', 'Pont-Péan', '72', [48.041543; -1.70162],2023-03-04,19:33:00
 1, 1152416127, 5007, '7402', '1152416127', '0074', 'En ligne', 'Rennes', '74', [47.995556; -1.618925],2023-03-04,19:33:00
 0, 1155178059, 5019, '6103', '1155178059', '0061', 'En ligne', 'Saint-Erblon', '61', [48.039017; -1.667723],2023-03-04,19:33:00
 0, 1155408220, 5020, '7401', '1155408220', '0074', 'En ligne', 'Orgères | Bourgbarré', '74', [48.020546; -1.68246],2023-03-04,19:33:00
 0, 1381196161, 6001, '6802', '1381196161', '0068', 'En ligne', 'Rennes', '68', [48.123027; -1.700258],2023-03-04,19:33:00
 1, 1386029542, 6022, '6801', '1386029542', '0068', 'En ligne', 'Gévezé', '68', [48.221096; -1.788683],2023-03-04,19:33:00
